Zipcode,Population
99119,1209.0
99128,209.0
99141,5140.0
99149,180.0
99153,390.0
99156,8122.0
99171,938.0
97443,2376.0
97446,5173.0
97447,710.0
97450,502.0
97451,388.0
97479,9516.0
97498,1584.0
97525,4244.0
97635,196.0
97641,1107.0
97701,63734.0
97722,99.0
97733,327.0
97737,696.0
97741,12009.0
97750,344.0
97756,36882.0
97760,6458.0
97906,266.0
97913,5341.0
98155,34174.0
97127,3885.0
97031,19322.0
97137,1300.0
97324,1213.0
97057,7.0
97086,28373.0
97089,12692.0
97208,0.0
97239,16190.0
97317,24257.0
97322,34388.0
97369,186.0
97373,194.0
97384,0.0
97388,534.0
97471,29369.0
97494,29.0
97495,1689.0
95585,537.0
95615,970.0
95692,5129.0
95742,10494.0
95961,27141.0
95121,38445.0
95461,2954.0
95542,2008.0
95543,792.0
95547,1158.0
95549,942.0
95554,336.0
95558,458.0
95565,934.0
95568,161.0
95605,14595.0
95618,27926.0
95665,4901.0
95677,23906.0
95691,36932.0
95625,54.0
99561,507.0
99564,40.0
99573,763.0
99576,2467.0
99590,165.0
99604,1114.0
99702,2826.0
99743,1115.0
99776,157.0
99103,538.0
99163,33822.0
99343,3491.0
99003,4744.0
99730,45.0
99737,4983.0
99012,787.0
99016,13634.0
99683,398.0
99691,120.0
20746,27322.0
20783,46980.0
20839,58.0
20841,11069.0
20879,26259.0
20904,56874.0
20759,4207.0
20762,3336.0
20765,360.0
20774,44154.0
20779,1094.0
20781,11379.0
20785,37061.0
20837,6262.0
20853,30286.0
20886,34266.0
20695,6851.0
20706,38938.0
20712,9200.0
20723,33399.0
20737,21922.0
20764,4426.0
20769,6972.0
20782,34919.0
20784,30373.0
20818,1783.0
20851,14972.0
20855,14871.0
20002,59659.0
24292,347.0
24473,740.0
24237,1149.0
24483,613.0
24485,147.0
24503,18842.0
24555,1907.0
24563,5334.0
24565,1075.0
24569,1079.0
24586,5721.0
24465,1360.0
24014,17116.0
24064,4651.0
24065,6301.0
24085,2148.0
24086,212.0
24105,478.0
24018,37746.0
24059,814.0
24072,1239.0
24073,30394.0
24088,5178.0
24102,1683.0
24121,10405.0
